supply_and_consumption,year,energy_source,data
Končna poraba-Drugi porabniki,2014,Zemeljski plin,1537.485119999997
Končna poraba-Energetski sektor,2014,Električna energija,359.388
Končna poraba-Energetski sektor,2014,Energetski viri-SKUPAJ,547.7182
Končna poraba-Energetski sektor,2014,"Geoterm., sončna itd.",0
Končna poraba-Energetski sektor,2014,Hidro energija,
Končna poraba-Energetski sektor,2014,Naftni proizvodi,13.6446
Končna poraba-Energetski sektor,2014,Nuklearna energija,
Končna poraba-Energetski sektor,2014,Obnovljivi viri in odpadki,0
Končna poraba-Energetski sektor,2014,Surova nafta,
Končna poraba-Energetski sektor,2014,Toplota,64.948
Končna poraba-Energetski sektor,2014,Trdna goriva,0
Končna poraba-Energetski sektor,2014,Zemeljski plin,109.7376
Končna poraba-Gospodinjstva,2014,Električna energija,11251.53
Končna poraba-Gospodinjstva,2014,Energetski viri-SKUPAJ,44414.96657
Končna poraba-Gospodinjstva,2014,"Geoterm., sončna itd.",1300.73
